Img,Image_Set,Memorability_Score,Num_Ratings,Mean_Valence,Mean_Arousal
07aff1491399cda2fbdb363c5fb98a04.jpg,Places,0.730990669,45,2.733333333,5
07b98f0075d2baf40f8a46dbc3147988.jpg,Places,0.456410256,40,5.975,4.075
07bdda6b3822bc761b9c451536422c73.jpg,Places,0.706917558,43,4.581395349,3.558139535
07c99bf394859e3fdde94626a4aedb79.jpg,Places,0.600831601,43,3.581395349,3.348837209
07cf5e9b9aad501863fe286256b8433d.jpg,Places,0.647981315,43,5.325581395,4.11627907
07fbc5d4f0c1ab43be1954cbf040156e.jpg,Places,0.567907996,49,1.836734694,6.102040816
0841f280aff55c74ee0dffdaf4188ea4.jpg,Places,0.511715934,49,5.775510204,4.448979592
08578eab23408bf318dfd6db70500e8c.jpg,Places,0.649744753,51,6.039215686,5.039215686
0cfe87730c34e33ddefcea72a76866e1.jpg,Places,0.686692506,53,5.471698113,4.113207547
0f271a073aca919eaf73077a0a550867.jpg,Places,0.561882339,51,5.607843137,4.784313725
1216885fcd1996d72778d37973d8a999.jpg,Places,0.753485854,56,3.357142857,3.410714286
134b290238223fd49f2dee79a7587f06.jpg,Places,0.697200243,54,4.388888889,4.018518519
158014689825043d5b49ffcf135892b5.jpg,Places,0.619136961,51,2.235294118,5
15b2fecb8d54103bbfccd9e0cf34a77e.jpg,Places,0.642288862,49,7.448979592,6.346938776
173e8fe5c0c53b4f5385c8a7e86a861a.jpg,Places,0.591575092,49,5.040816327,4.040816327
1abe1596b69591f149b15811c4ebf8d4.jpg,Places,0.625848293,51,2.921568627,3.862745098
1cbef3c5cb4fe716e034186cb1f459b5.jpg,Places,0.646030861,56,2.053571429,5.339285714
1d1126855bbfe8686076894dafc7e2dd.jpg,Places,0.632409131,40,6.125,4.625
1d6107741d00d7d7c948236f08261022.jpg,Places,0.697496609,40,7.25,5.55
1dbc7df4af0afedb6bc0d91abf65d058.jpg,Places,0.768162275,40,7.275,5.8
1dc361f76251ff72a0694023d1916f60.jpg,Places,0.577430386,40,7.05,5.375
1dc5c3b08060954e521c75ea837eb71d.jpg,Places,0.620050719,40,4.75,4.125
1dd3a731a3e1716b73cb2d1b65d83d7a.jpg,Places,0.794805195,40,5.2,5.35
1dd77ec744fb837935ab3df63483c776.jpg,Places,0.685149366,40,4.7,3.8
1dd996ab9593336670e1b93dd8ba9f1a.jpg,Places,0.620234929,40,4.825,3.475
1ddda63362e0721f412de80fd0ca4883.jpg,Places,0.748892314,40,3.75,4.325
1ded6e97d0ad65c21ef12e8872f75185.jpg,Places,0.550936888,42,6.5,4.857142857
1e0039c3ff70aa9ddd88b4f712810288.jpg,Places,0.649513473,40,7.525,5.875
1e0ac70f7b7b43cce98bf26a2240e6f0.jpg,Places,0.629164953,43,5.651162791,4.76744186
1e0bf22bb974ebd8945c4143dd06ba19.jpg,Places,0.901378373,40,4.65,5
1e11737ef84d2540acdb3e95be306366.jpg,Places,0.664603175,40,4.825,4.675
1e17d2e98031547bec6f4684524e29d2.jpg,Places,0.501995242,40,4.425,4.125
1e26d745a0951bfa5278805abf6ba298.jpg,Places,0.698493976,43,4.837209302,3.906976744
1e31bf1c05c2786e4e14276e30f4cd5c.jpg,Places,0.565583087,40,2.975,3.975
1e35e7e28213e147fab78aea8e504e2b.jpg,Places,0.809166491,45,7.066666667,6.155555556
1e4a0f9289367ab74a587f6f44a4d5e9.jpg,Places,0.59499232,45,6.111111111,4.777777778
1e5331dcb6300b78f27530fad9151075.jpg,Places,0.813972873,45,1.955555556,5.111111111
1e55bcaa25fabbc8578a7277fc33739b.jpg,Places,0.706190476,40,4.4,3.525
1e571e151e1117ad2d65e10293008f3b.jpg,Places,0.708156028,40,4.175,3.725
1e5961026da783754d8ece7706b3b060.jpg,Places,0.614498645,40,3.4,3.875
1e6a60f1817f555f789e697ee2286ae1.jpg,Places,0.535209847,40,8,6.175
1e6adb94e473b7b03da0dac131148d3d.jpg,Places,0.586373626,40,3.1,3.3
1e6b7bdeff775085076c033c886f9be9.jpg,Places,0.653788919,40,4.775,4.45
1e7b01b9407cb445ba0ddf605496cebc.jpg,Places,0.687135315,40,6.125,5.475
1e7ce32a3cbdae096a502e6c8076f79b.jpg,Places,0.737660773,40,2.75,4.9
1e7d10af2893cad8262309c1cbc2cf9a.jpg,Places,0.651883239,40,4.85,4.875
1e8b1c227937cf0e65acd92b50392f3e.jpg,Places,0.707202612,40,5.875,4.8
1e8d554bd33ee06f1f5bb421c6f25fe9.jpg,Places,0.679687935,40,5.85,4.25
1e901ec959fc45590d29efb421923c34.jpg,Places,0.70046663,66,3.560606061,4.348484848
1e94ffb7f9974a4e16b4667988e5fe04.jpg,Places,0.747773704,40,4.775,4.925
